Country Code,County Name,World Region
AND,Andorra,Europe
ARG,Argentina,South/Central America
AUS,Australia,Oceania
BGD,Bangladesh,Asia
BOL,Bolivia,South/Central America
BRA,Brazil,South/Central America
CHL,Chile,South/Central America
CHN,China,China
COL,Colombia,South/Central America
CYP,Cyprus,Europe
DEU,Germany,Europe
ECU,Ecuador,South/Central America
EGY,Egypt,Africa
ETH,Ethiopia,Africa
GRC,Greece,Europe
GTM,Guatemala,South/Central America
HKG,Honk Kong,Asia
IDN,Indonesia,Asia
IRN,Iran,Middle East
IRQ,Iraq,Middle East
JOR,Jordan,Middle East
JPN,Japan,Asia
KAZ,Kazakhstan,Asia
KGZ,Kyrgyzstan,Asia
KOR,South Korea,Asia
LBN,Lebanon,Middle East
MAC,Macao,Asia
MEX,Mexico,South/Central America
MMR,Myanmar,Asia
MYS,Malaysia,Asia
NGA,Nigeria,Africa
NIC,Nicaragua,South/Central America
NZL,New Zealand,Oceania
PAK,Pakistan,Asia
PER,Peru,South/Central America
PHL,Philippines,Asia
PRI,Puerto Rico,United States
ROU,Romania,Europe
RUS,Russia,Europe
SRB,Serbia,Europe
THA,Thailand,Asia
TJK,Tajikistan,Asia
TUN,Tunisia,Africa
TUR,Turkey,Europe
TWN,Taiwan,Asia
USA,United States,United States
VNM,Vietnam,Asia
ZWE,Zimbabwe,Africa
